artsid;artsnavn;DanskNavn;LatinskNavn
4689;Braksvale sp.;Braksvale sp.;Glareola sp.
4689;Braksvale sp.;Braksvale sp.;(Glareola sp.)
6386;Tejst, Arktisk (ssp. mandtii);Tejst, Arktisk (ssp. mandtii);Cepphus grylle mandtii
6386;Tejst, Arktisk (ssp. mandtii);Tejst, Arktisk (ssp. mandtii);(Cepphus grylle mandtii)
6350;Polarlomvie;Polarlomvie;Uria lomvia
6350;Polarlomvie;Polarlomvie;(Uria lomvia)
6343;Lomvie, Arktisk (ssp. hyperborea);Lomvie, Arktisk (ssp. hyperborea);Uria aalge hyperborea
6343;Lomvie, Arktisk (ssp. hyperborea);Lomvie, Arktisk (ssp. hyperborea);(Uria aalge hyperborea)
6220;Brilleterne;Brilleterne;Onychoprion anaethetus
6220;Brilleterne;Brilleterne;(Onychoprion anaethetus)
6260;Hvidskægget Terne;Hvidskægget Terne;Chlidonias hybrida
6260;Hvidskægget Terne;Hvidskægget Terne;(Chlidonias hybrida)
6120;Aztekerterne;Aztekerterne;Thalasseus elegans
6120;Aztekerterne;Aztekerterne;(Thalasseus elegans)
6140;Rosenterne;Rosenterne;Sterna dougallii
6140;Rosenterne;Rosenterne;(Sterna dougallii)
6010;Rosenmåge;Rosenmåge;Rhodostethia rosea
6010;Rosenmåge;Rosenmåge;(Rhodostethia rosea)
6040;Ismåge;Ismåge;Pagophila eburnea
6040;Ismåge;Ismåge;(Pagophila eburnea)
5850;Tyndnæbbet Måge;Tyndnæbbet Måge;Chroicocephalus genei
5850;Tyndnæbbet Måge;Tyndnæbbet Måge;(Chroicocephalus genei)
5810;Bonapartemåge;Bonapartemåge;Chroicocephalus philadelphia
5810;Bonapartemåge;Bonapartemåge;(Chroicocephalus philadelphia)
5760;Lattermåge;Lattermåge;Leucophaeus atricilla
5760;Lattermåge;Lattermåge;(Leucophaeus atricilla)
5770;Præriemåge;Præriemåge;Leucophaeus pipixcan
5770;Præriemåge;Præriemåge;(Leucophaeus pipixcan)
5730;Stor Sorthovedet Måge;Stor Sorthovedet Måge;Ichthyaetus ichthyaetus
5730;Stor Sorthovedet Måge;Stor Sorthovedet Måge;(Ichthyaetus ichthyaetus)
5880;Audouinsmåge;Audouinsmåge;Ichthyaetus audouinii
